Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331023450,2936175,405,132327,9,1260619,214,1543229,16017,8870,400,36955038,111639,Americas
Brazil,South America,212574666,1578376,,64365,,978615,,535396,8318,7425,303,3330562,15668,Americas
Russia,Europe,145935301,681251,6736,10161,134,450750,3871,220340,2300,4668,70,21069457,144375,Europe
India,Asia,1380122667,675453,1549,19303,24,409083,21,247067,8944,489,14,9789066,7093,South-EastAsia
Peru,South America,32974896,299080,,10412,,189621,,99047,1210,9070,316,1761910,53432,Americas
Spain,Europe,46755021,297625,,28385,,,,,617,6366,607,5448984,116543,Europe
Chile,South America,19117735,291847,,6192,,257445,,28210,2077,15266,324,1163880,60880,Americas
UK,Europe,67889941,284900,,44198,,,,,231,4196,651,10340511,152313,Europe
Mexico,North America,128944098,252165,6914,30366,523,152309,5104,69490,378,1956,235,634991,4925,Americas
Italy,Europe,60460552,241419,,34854,,191944,,14621,71,3993,576,5600826,92636,Europe
Iran,Asia,84000693,240438,2560,11571,163,201330,2381,27537,3168,2862,138,1794727,21366,EasternMediterranean
Pakistan,Asia,220908487,228474,3191,4712,93,129830,4736,93932,2419,1034,21,1398352,6330,EasternMediterranean
Saudi Arabia,Asia,34817001,205929,,1858,,143256,,60815,2295,5915,53,1823763,52381,EasternMediterranean
Turkey,Asia,84346550,204610,,5206,,179492,,19912,1093,2426,62,3584066,42492,Europe
Germany,Europe,83787168,197418,,9081,,181700,400,6637,318,2356,108,5873563,70101,Europe
South Africa,Africa,59314150,187977,,3026,,91227,,93724,539,3169,51,1792078,30213,Africa
France,Europe,65275320,166960,,29893,,77060,,60007,560,2558,458,1384633,21212,Europe
Bangladesh,Asia,164703578,162417,2738,2052,55,72625,1904,87740,1,986,12,849062,5155,South-EastAsia
Colombia,South America,50887391,113389,,3942,,46563,,62884,841,2228,77,839731,16502,Americas
Canada,North America,37745217,105317,,8674,,68990,,27653,2125,2790,230,2914954,77227,Americas
Qatar,Asia,2807805,99799,616,128,5,92284,1897,7387,175,35543,46,381434,135848,EasternMediterranean
Argentina,South America,45199527,75376,,1481,,25930,,47965,620,1668,33,390382,8637,Americas
Egypt,Africa,102342235,74035,,3280,,20103,,50652,41,723,32,135000,1319,EasternMediterranean
Sweden,Europe,10099928,71419,,5420,,,,,124,7071,537,519113,51398,Europe
Indonesia,Asia,273547739,63749,1607,3171,82,29105,886,31473,,233,12,915482,3347,South-EastAsia
Belarus,Europe,9449280,63270,,418,,50669,,12183,89,6696,44,1059299,112104,Europe
Belgium,Europe,11590201,61838,,9771,,17091,,34976,32,5335,843,1284605,110835,Europe
Ecuador,South America,17644654,61535,,4769,,28507,,28259,288,3487,270,162372,9202,Americas
Iraq,Asia,40224447,58354,,2368,,31077,,24909,333,1451,59,589377,14652,EasternMediterranean
UAE,Asia,9891307,50857,,321,,39857,,10679,1,5142,32,3500000,353846,EasternMediterranean
Netherlands,Europe,17135347,50335,,6113,,,,,18,2937,357,616376,35971,Europe
Kuwait,Asia,4270961,49303,,365,,39943,,8995,158,11544,85,402941,94344,EasternMediterranean
Ukraine,Europe,43729423,48500,823,1249,22,21376,261,25875,105,1109,29,705836,16141,Europe
Kazakhstan,Asia,18778421,47171,1452,188,,27030,280,19953,121,2512,10,1590144,84679,Europe
Oman,Asia,5106699,46178,1072,213,10,27917,949,18048,116,9043,42,202837,39720,EasternMediterranean
Singapore,Asia,5850789,44800,136,26,,40117,,4657,2,7657,4,757746,129512,WesternPacific
Philippines,Asia,109591202,44254,2424,1297,7,11942,489,31015,166,404,12,798476,7286,WesternPacific
Portugal,Europe,10196262,43569,,1605,,28772,,13192,73,4273,157,1205593,118239,Europe
Bolivia,South America,11674099,38071,1253,1378,58,11272,506,25421,71,3261,118,83958,7192,Americas
Panama,North America,4315153,36983,,720,,17761,,18502,146,8570,167,141283,32741,Americas
Dominican Republic,North America,10848848,36184,,786,,18602,,16796,193,3335,72,163727,15092,Americas
Poland,Europe,37846025,35950,231,1517,5,23746,619,10687,77,950,40,1639370,43317,Europe
Afghanistan,Asia,38930206,32951,279,864,38,19366,202,12721,30,846,22,75747,1946,EasternMediterranean
Switzerland,Europe,8655254,32268,70,1965,,29200,,1103,15,3728,227,624396,72141,Europe
Israel,Asia,9197590,29366,196,330,,17847,31,11189,84,3193,36,1069963,116331,Europe
Romania,Europe,19235531,28973,391,1750,19,20026,172,7197,215,1506,91,766868,39867,Europe
Bahrain,Asia,1701306,28857,,96,,23959,,4802,46,16962,56,592350,348174,EasternMediterranean
Armenia,Asia,2963313,28606,706,484,7,16140,205,11982,10,9653,163,122682,41400,Europe
Nigeria,Africa,206144243,28167,,634,,11462,,16071,7,137,3,148188,719,Africa
Ireland,Europe,4938229,25509,,1741,,23364,,404,12,5166,353,454216,91980,Europe
Honduras,North America,9905489,22921,805,629,24,2387,137,19905,58,2314,64,49308,4978,Americas
Guatemala,North America,17916976,22501,,920,,3330,,18251,5,1256,51,64590,3605,Americas
Ghana,Africa,31074883,20085,697,122,5,14870,540,5093,6,646,4,307133,9884,Africa
Azerbaijan,Asia,10140012,19801,,241,,11291,,8269,66,1953,24,509811,50277,Europe
Japan,Asia,126470615,19282,,977,,16959,,1346,32,152,8,490287,3877,WesternPacific
Austria,Europe,9006953,18280,115,706,1,16615,8,959,10,2030,78,647804,71923,Europe
Moldova,Europe,4033825,17672,,582,2,10718,322,6372,438,4381,144,101180,25083,Europe
Serbia,Europe,8736823,15829,,306,,13064,,2459,86,1812,35,434415,49722,Europe
Nepal,Asia,29139175,15784,293,34,,6547,132,9203,,542,1,547876,18802,South-EastAsia
Algeria,Africa,43854590,15500,,946,,11181,,3373,56,353,22,,,Africa
Morocco,Africa,36913924,14132,310,234,2,9410,81,4488,19,383,6,748449,20276,EasternMediterranean
S. Korea,Asia,51269767,13091,61,283,,11832,21,976,15,255,6,1326055,25864,WesternPacific
Denmark,Europe,5792444,12832,,606,,11817,,409,6,2215,105,1106377,191003,Europe
Cameroon,Africa,26546427,12592,,313,,10100,,2179,52,474,12,,,Africa
Czechia,Europe,10709233,12440,,351,,7852,,4237,14,1162,33,570080,53233,Europe
Ivory Coast,Africa,26378877,10462,,72,,4807,,5583,,397,3,62205,2358,Africa
Uzbekistan,Asia,33472274,9829,121,31,,6425,,3373,25,294,0.9,1121236,33497,Europe
Sudan,Africa,43850981,9767,104,608,4,4673,49,4486,,223,14,401,9,EasternMediterranean
Norway,Europe,5421654,8927,1,251,,8138,,538,3,1647,46,348208,64225,Europe
Malaysia,Asia,32368983,8663,5,121,,8465,4,77,2,268,4,804518,24855,WesternPacific
